Unique ID,feature_name,Honorees,City,County,State,Side,Coordinates,Symbol Type,Symbol Category,Sponsors,Year Dedicated,Year Removed,Tracking Status
1086,Nathan Bedford Bust,Nathan Bedford Forrest,Eva,Benton,TN,South,"36.084338,-87.985332",Monument,Parks/Trails,Uknown,,,Live
1870,Nathan Bedford Forrest State Park,Nathan Bedford Forrest,Eva,Benton,TN,South,"36.088718,-87.974160",Park,Parks/Trails,Uknown,1929,,Live
1878,General Forrest Court,Nathan Bedford Forrest,Forest Hills,Davidson,TN,South,"36.062731,-86.823301",Highway / Roadway,Roads,Uknown,,,Live
1877,Robert E. Lee Court,Robert E. Lee,Forest Hills,Davidson,TN,South,"36.065045,-86.827672",Highway / Roadway,Roads,Uknown,,,Live
1017,Robert E. Lee Drive,Robert E. Lee,Forest Hills,Davidson,TN,South,"36.064869,-86.821487",Highway / Roadway,Roads,Uknown,,,Live
1857,Alleghany County Confederate Monument,No specific honoree,Covington,Alleghany,VA,South,"37.792500,-79.995750",Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live
5020,Confederate Soldier Monument,No specific honoree,Culpeper,Culpeper,VA,South,"38.473728,-77.997054",Monument,Courthouse Grounds,Citizens of Culpeper County; A.P. Hill Camp No. 2 C.V.,1911,,Live
3146,Farley Street,William Downs Farley,Culpeper,Culpeper,VA,South,"38.487203,-77.987716",Highway / Roadway,Roads,Uknown,,,Live
1305,General AP Hill Avenue,A.P. Hill,Culpeper,Culpeper,VA,South,"38.496886,-78.036487",Highway / Roadway,Roads,Uknown,,,Live
167,Confederate Memorial,No specific honoree,Picacho Pass,Pinal,AZ,Not Applicable,"32.638492,-111.409533",Monument,Monument,Sons of Confederate Veterans,,,Live
1452,Powhatan Troop Confederate Monument,No specific honoree,Powhatan,Powhatan,VA,South,"37.541932,-77.918677",Monument,Courthouse Grounds,Sons of Confederate Veterans,1999,,Live
1461,Confederate Monument,No specific honoree,Windsor,Isle of Wight,VA,South,"36.907967,-76.708183",Monument,Courthouse Grounds,United Daughters of the Confederacy,1905,,Live
1463,City of Wise,Henry A. Wise,Wise,Wise,VA,South,"36.976361,-82.575359",City,County/Municipality,Uknown,1924,,Live
1288,Jeff Davis Drive,Jefferson Davis,Woodford,Caroline,VA,South,"38.107909,-77.361321",Highway / Roadway,Roads,Uknown,,,Live
1317,Stonewall Jackson Road,"Thomas Jonathan ""Stonewall"" Jackson",Woodford,Caroline,VA,South,"38.143819,-77.439503",Highway / Roadway,Roads,Uknown,,,Live
3170,Pickett Road,George Pickett,Bellingham,Whatcom,WA,Not Applicable,"48.795312,-122.510637",Highway / Roadway,Roads,Uknown,,,Live
1490,Lee Elementary School,Robert E. Lee,East Wenatchee,Douglas,WA,Not Applicable,"47.427315,-120.291107",School,Schools,Uknown,1955,,Live
1496,Beauregard Boulevard,Pierre Gustave Toutant-Beauregard,Charles Town,Jefferson,WV,Border,"39.302291,-77.830981",Highway / Roadway,Roads,Uknown,,,Live
1837,Captain Chews Trace,Roger Preston Chew,Charles Town,Jefferson,WV,Border,"39.301136,-77.832239",Highway / Roadway,Roads,Uknown,,,Live
1497,Lee Way,Robert E. Lee,Charles Town,Jefferson,WV,Border,"39.302558,-77.833717",Highway / Roadway,Roads,Uknown,,,Live
1271,Sons of Confederate Veterans Commemorative License Plate,No specific honoree,Richmond,Richmond City,VA,South,"37.538620,-77.433368",Commemorative License Plate,Flags,Sons of Confederate Veterans,,,Live
1404,Stonewall Jackson Monument I,"Thomas Jonathan ""Stonewall"" Jackson",Richmond,Richmond City,VA,South,"37.539233,-77.433183",Monument,Government Office Grounds,Uknown,1875,,Live
1966,Lee Highway Marker,Robert E. Lee,Roanoke,Roanoke City,VA,South,"37.264450,-80.011383",Monument,Monument,United Daughters of the Confederacy,1928,,Live
1965,Lee Plaza,Robert E. Lee,Roanoke,Roanoke City,VA,South,"37.270507,-79.94522",Park,Parks/Trails,Uknown,,,Live
1964,Robert E. Lee Monument,Robert E. Lee,Roanoke,Roanoke City,VA,South,"37.270507,-79.945225",Monument,Monument,United Daughters of the Confederacy,1960,,Live
1453,Confederate Monument,No specific honoree,Rocky Mount,Franklin,VA,South,"36.995447,-79.889099",Monument,Courthouse Grounds,United Daughters of the Confederacy; R.H. Fishburne,1910,,Live
445,Confederate Monument,No specific honoree,Glasgow,Barren,KY,Border,"36.995551,-85.912195",Monument,Monument,Women's Monumental Association; former Confederate soldier John A. Murray,1905,,Live
1225,City of Fort Davis,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,"30.588442,-103.895231",City,County/Municipality,Uknown,,,Live
1880,Davis Mountains,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,"30.633333,-104.166667",Other,Parks/Trails,Uknown,1854,,Live
1881,Davis Mountains State Park,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,"30.599059,-103.930104",Park,Parks/Trails,Uknown,1933,,Live
1247,Fort Davis Junior-Senior High School,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,"30.586961,-103.898693",School,Schools,Uknown,,,Live
1097,Jeff Davis County,Jefferson Davis,Fort Davis,Jeff Davis,TX,South,"30.588425,-103.894918",County/Municipality,County/Municipality,Uknown,1887,,Live
1155,Fort Hood,John Bell Hood,Fort Hood,Bell,TX,South,"31.194999,-97.741342",Military Base,Buildings,Uknown,1942,,Live
3127,Stonewall Elementary,"Thomas Jonathan ""Stonewall"" Jackson",Fredericksburg,Gillespie,TX,South,"30.237244,-98.662510",School,Schools,Uknown,,,Live
1032,Stonewall Jackson Drive,"Thomas Jonathan ""Stonewall"" Jackson",Newport,Cocke,TN,South,"35.894485,-83.217466",Highway / Roadway,Roads,Uknown,,,Live
1020,Stonewall Jackson Court,"Thomas Jonathan ""Stonewall"" Jackson",Oak Hill,Davidson,TN,South,"36.067790,-86.808476",Highway / Roadway,Roads,Uknown,,,Live
1071,Confederate Monument,No specific honoree,Paris,Henry,TN,South,"36.302433,-88.325550",Monument,Courthouse Grounds,Uknown,1900,,Live
1055,Morton's Battery,"John Watson Morton, Jr.",Parkers Crossroads,Henderson,TN,South,"35.796333,-88.390300",Monument,Monument,Sons of Confederate Veterans,2007,,Live
1072,"""Rebel Martyr"" Sam Davis Statue",Sam Davis,Pulaski,Giles,TN,South,"35.199223,-87.031345",Monument,Courthouse Grounds,United Daughters of the Confederacy,1906,,Live
1036,Sam Davis Avenue,Sam Davis,Pulaski,Giles,TN,South,"35.197759,-87.027397",Highway / Roadway,Roads,Uknown,,,Live
1084,Sam Davis Hanging Site,Sam Davis,Pulaski,Giles,TN,South,"35.196734,-87.027647",Other,Parks/Trails,Uknown,,,Live
1010,Bedford Forrest Lane,Nathan Bedford Forrest,Ridgley,Lake,TN,South,"36.270356,-89.481444",Highway / Roadway,Roads,Uknown,,,Live
1013,Jefferson Davis Highway,Jefferson Davis,Ripley,Lauderdale,TN,South,"35.754395,-89.550200",Highway / Roadway,Roads,Uknown,,,Live
1940,Confederate Reunion Grounds State Historic Site,No specific honoree,Mexia,Limestone,TX,South,"31.631685,-96.560497",Park,Parks/Trails,United Confederate Veterans,1983,,Live
1102,Roberts County,Oran Milo Roberts,Miami,Roberts,TX,South,"35.692658,-100.635389",County/Municipality,County/Municipality,State of Texas,1889,,Live
1258,Lee Freshman High School,Robert E. Lee,Midland,Midland,TX,South,"32.025608,-102.065671",School,Schools,Uknown,1961,,Live
1259,Robert E. Lee High School,Robert E. Lee,Midland,Midland,TX,South,"32.011802,-102.129280",School,Schools,Uknown,1961,,Live
1146,Beauregard Court,Pierre Gustave Toutant-Beauregard,Missouri City,Fort Bend,TX,South,"29.542013,-95.511791",Highway / Roadway,Roads,Uknown,,,Live
1145,Bedford Forrest Drive,Nathan Bedford Forrest,Missouri City,Fort Bend,TX,South,"29.541294,-95.511437",Highway / Roadway,Roads,Uknown,,,Live
1147,Breckinridge Court,John C. Breckinridge,Missouri City,Fort Bend,TX,South,"29.540131,-95.507875",Highway / Roadway,Roads,Uknown,,,Live
1148,Confederate Drive,No specific honoree,Missouri City,Fort Bend,TX,South,"29.539459,-95.505815",Highway / Roadway,Roads,Uknown,,,Live
1149,Pickett Place,George Pickett,Missouri City,Fort Bend,TX,South,"29.539597,-95.512106",Highway / Roadway,Roads,Uknown,,,Live
1210,Confederate Soldier Statue,No specific honoree,Mount Pleasant,Titus,TX,South,"33.156800,-94.968683",Monument,Courthouse Grounds,United Daughters of the Confederacy,1911,,Live
183,North Jeff Davis Avenue,Jefferson Davis,Perry,Taylor,FL,South,"30.119028,-83.578349",Highway / Roadway,Roads,Uknown,,,Live
583,Frenchman's Spring,No specific honoree,Dexter,Stoddard,MO,Border,"36.759959,-89.969902",Monument,Monument,Sons of Confederate Veterans,1996,,Live
578,Jefferson Davis Drive,Jefferson Davis,Hillsboro,Jefferson,MO,Border,"38.256428,-90.617369",Highway / Roadway,Roads,Uknown,,,Live
593,Captain Delaney S. Washburn Memorial,Delaney S. Washburn,Huntsville,Randolph,MO,Border,"39.440617,-92.545100",Monument,Courthouse Grounds,Huntsville Historical Society,1976,,Live
2135,Price's Great Raid Monument,Sterling Price,Jefferson City,Cole,MO,Border,"38.557837,-92.168714",Monument,Monument,United Daughters of the Confederacy,1933,,Live
2184,General Sterling Price Monument,Sterling Price,Keytesville,Chariton,MO,Border,"39.434742,-92.936739",Monument,Monument,United Daughters of the Confederacy; State of Missouri,1915,,Live
596,Sterling Price Gazebo and Park,Sterling Price,Keytesville,Chariton,MO,Border,"39.434495,-92.938200",Park,Parks/Trails,United Daughters of the Confederacy; State of Missouri,1915,,Live
594,Confederate Capital of Missouri,No specific honoree,Neosho,Newton,MO,Border,"36.869300,-94.367900",Monument,Courthouse Grounds,Uknown,,,Live
2207,Missouri State Guard Militia Monument,No specific honoree,Nevada,Vernon,MO,Border,"37.840233,-94.358392",Monument,Monument,Sons of Confederate Veterans,2001,,Live
595,Palmyra Massacre Monument,No specific honoree,Palmyra,Marion,MO,Border,"39.799134,-91.523266",Monument,Courthouse Grounds,Palmyra Confederate Monument Association and friends,1907,,Live
708,Confederate Soldier Monument I,No specific honoree,Oxford,Lafayette,MS,South,"34.366117,-89.518750",Monument,Courthouse Grounds,United Confederate Veterans,1907,,Live
1006,Lee County Career & Technology Center,Robert E. Lee,Bishopville,Lee,SC,South,"34.180372,-80.210076",School,Schools,Uknown,,,Live
